#    L    TT             EE             BB             TE          
   298   0.412265E+04   0.874454E+01   0.307463E-01   0.117194E+03
   299   0.408925E+04   0.891985E+01   0.308997E-01   0.117593E+03
   300   0.405576E+04   0.909623E+01   0.310524E-01   0.117956E+03
   301   0.402219E+04   0.927376E+01   0.312044E-01   0.118282E+03
   302   0.398856E+04   0.945223E+01   0.313556E-01   0.118571E+03
   303   0.395488E+04   0.963170E+01   0.315062E-01   0.118824E+03
   304   0.392116E+04   0.981211E+01   0.316560E-01   0.119040E+03
   305   0.388742E+04   0.999336E+01   0.318050E-01   0.119218E+03
   306   0.385365E+04   0.101755E+02   0.319534E-01   0.119360E+03
   307   0.381988E+04   0.103583E+02   0.321010E-01   0.119463E+03
   308   0.378611E+04   0.105418E+02   0.322479E-01   0.119530E+03
   309   0.375235E+04   0.107260E+02   0.323941E-01   0.119559E+03
   310   0.371861E+04   0.109107E+02   0.325396E-01   0.119550E+03
   311   0.368491E+04   0.110959E+02   0.326843E-01   0.119503E+03
   312   0.365124E+04   0.112815E+02   0.328283E-01   0.119419E+03
   313   0.361763E+04   0.114676E+02   0.329716E-01   0.119296E+03
   314   0.358407E+04   0.116539E+02   0.331143E-01   0.119135E+03
   315   0.355059E+04   0.118404E+02   0.332562E-01   0.118936E+03
   316   0.351718E+04   0.120272E+02   0.333974E-01   0.118699E+03
   317   0.348387E+04   0.122140E+02   0.335379E-01   0.118425E+03
   318   0.345066E+04   0.124008E+02   0.336777E-01   0.118113E+03
   319   0.341756E+04   0.125877E+02   0.338169E-01   0.117762E+03
   320   0.338457E+04   0.127745E+02   0.339554E-01   0.117375E+03
   321   0.335173E+04   0.129611E+02   0.340932E-01   0.116950E+03
   322   0.331901E+04   0.131475E+02   0.342304E-01   0.116486E+03
   323   0.328645E+04   0.133336E+02   0.343669E-01   0.115986E+03
   324   0.325404E+04   0.135192E+02   0.345028E-01   0.115449E+03
   325   0.322179E+04   0.137045E+02   0.346380E-01   0.114875E+03
   326   0.318972E+04   0.138893E+02   0.347726E-01   0.114264E+03
   327   0.315784E+04   0.140735E+02   0.349067E-01   0.113616E+03
   328   0.312614E+04   0.142570E+02   0.350401E-01   0.112932E+03
   329   0.309465E+04   0.144398E+02   0.351729E-01   0.112212E+03
   330   0.306337E+04   0.146218E+02   0.353052E-01   0.111456E+03
   331   0.303231E+04   0.148029E+02   0.354369E-01   0.110664E+03
   332   0.300147E+04   0.149832E+02   0.355680E-01   0.109837E+03
   333   0.297086E+04   0.151624E+02   0.356987E-01   0.108975E+03
   334   0.294050E+04   0.153405E+02   0.358288E-01   0.108078E+03
   335   0.291039E+04   0.155174E+02   0.359583E-01   0.107147E+03
   336   0.288055E+04   0.156931E+02   0.360874E-01   0.106182E+03
   337   0.285097E+04   0.158676E+02   0.362160E-01   0.105183E+03
   338   0.282166E+04   0.160407E+02   0.363442E-01   0.104152E+03
   339   0.279264E+04   0.162124E+02   0.364719E-01   0.103088E+03
   340   0.276391E+04   0.163827E+02   0.365991E-01   0.101993E+03
   341   0.273548E+04   0.165513E+02   0.367260E-01   0.100865E+03
   342   0.270735E+04   0.167183E+02   0.368524E-01   0.997053E+02
   343   0.267953E+04   0.168836E+02   0.369785E-01   0.985152E+02
   344   0.265202E+04   0.170470E+02   0.371041E-01   0.972938E+02
   345   0.262483E+04   0.172086E+02   0.372295E-01   0.960420E+02
   346   0.259796E+04   0.173682E+02   0.373545E-01   0.947597E+02
   347   0.257141E+04   0.175257E+02   0.374792E-01   0.934477E+02
   348   0.254519E+04   0.176811E+02   0.376036E-01   0.921059E+02
   349   0.251932E+04   0.178344E+02   0.377277E-01   0.907367E+02
   350   0.249380E+04   0.179855E+02   0.378515E-01   0.893392E+02
   351   0.246864E+04   0.181343E+02   0.379751E-01   0.879149E+02
   352   0.244384E+04   0.182809E+02   0.380985E-01   0.864646E+02
   353   0.241941E+04   0.184251E+02   0.382217E-01   0.849882E+02
   354   0.239535E+04   0.185669E+02   0.383447E-01   0.834880E+02
   355   0.237169E+04   0.187062E+02   0.384676E-01   0.819633E+02
   356   0.234840E+04   0.188430E+02   0.385903E-01   0.804147E+02
   357   0.232551E+04   0.189773E+02   0.387129E-01   0.788431E+02
   358   0.230301E+04   0.191089E+02   0.388354E-01   0.772490E+02
   359   0.228090E+04   0.192376E+02   0.389578E-01   0.756327E+02
   360   0.225919E+04   0.193636E+02   0.390801E-01   0.739954E+02
   361   0.223789E+04   0.194868E+02   0.392024E-01   0.723363E+02
   362   0.221698E+04   0.196070E+02   0.393247E-01   0.706570E+02
   363   0.219650E+04   0.197241E+02   0.394470E-01   0.689583E+02
   364   0.217642E+04   0.198383E+02   0.395693E-01   0.672407E+02
   365   0.215676E+04   0.199494E+02   0.396917E-01   0.655052E+02
   366   0.213751E+04   0.200573E+02   0.398141E-01   0.637524E+02
   367   0.211870E+04   0.201621E+02   0.399366E-01   0.619830E+02
   368   0.210030E+04   0.202636E+02   0.400592E-01   0.601979E+02
   369   0.208233E+04   0.203620E+02   0.401820E-01   0.583979E+02
   370   0.206480E+04   0.204569E+02   0.403049E-01   0.565836E+02
   371   0.204769E+04   0.205485E+02   0.404280E-01   0.547559E+02
   372   0.203102E+04   0.206367E+02   0.405513E-01   0.529154E+02
   373   0.201478E+04   0.207215E+02   0.406748E-01   0.510630E+02
   374   0.199897E+04   0.208029E+02   0.407985E-01   0.491994E+02
   375   0.198360E+04   0.208808E+02   0.409226E-01   0.473252E+02
   376   0.196867E+04   0.209550E+02   0.410468E-01   0.454414E+02
   377   0.195418E+04   0.210257E+02   0.411714E-01   0.435485E+02
   378   0.194012E+04   0.210928E+02   0.412963E-01   0.416473E+02
   379   0.192650E+04   0.211561E+02   0.414216E-01   0.397386E+02
   380   0.191333E+04   0.212158E+02   0.415472E-01   0.378231E+02
   381   0.190059E+04   0.212716E+02   0.416733E-01   0.359015E+02
   382   0.188830E+04   0.213236E+02   0.417997E-01   0.339746E+02
   383   0.187645E+04   0.213718E+02   0.419265E-01   0.320433E+02
   384   0.186504E+04   0.214162E+02   0.420538E-01   0.301082E+02
   385   0.185407E+04   0.214567E+02   0.421816E-01   0.281703E+02
   386   0.184354E+04   0.214934E+02   0.423099E-01   0.262304E+02
   387   0.183345E+04   0.215262E+02   0.424386E-01   0.242893E+02
   388   0.182379E+04   0.215552E+02   0.425679E-01   0.223479E+02
   389   0.181457E+04   0.215804E+02   0.426978E-01   0.204069E+02
   390   0.180578E+04   0.216017E+02   0.428282E-01   0.184671E+02
   391   0.179743E+04   0.216191E+02   0.429592E-01   0.165294E+02
   392   0.178951E+04   0.216325E+02   0.430908E-01   0.145946E+02
   393   0.178201E+04   0.216421E+02   0.432230E-01   0.126633E+02
   394   0.177494E+04   0.216478E+02   0.433559E-01   0.107363E+02
