# [0]ell [1]TgradT [2]EgradE [3]BgradB [4]TgradE
6.800000000000000000e+01 1.816883556820686636e+03 3.038010166731613393e-01 2.285102815770508229e-03 -4.852911965307544762e+00
6.900000000000000000e+01 1.840848612399898457e+03 3.165860648285625523e-01 2.350887800798592223e-03 -5.276735419923186399e+00
7.000000000000000000e+01 1.865011349717726262e+03 3.296006936179126656e-01 2.417551672958941165e-03 -5.712554789953061984e+00
7.100000000000000000e+01 1.889363414764954996e+03 3.428403368491611536e-01 2.485095591578407020e-03 -6.160416217249898629e+00
7.200000000000000000e+01 1.913988299705933287e+03 3.563008912673448214e-01 2.553515279468143197e-03 -6.620859907224469154e+00
7.300000000000000000e+01 1.938959160369466417e+03 3.699773693862813961e-01 2.622812142475070777e-03 -7.094332674930506677e+00
7.400000000000000000e+01 1.964245197643803749e+03 3.838586189905338619e-01 2.692982035844478875e-03 -7.580212736332441636e+00
7.500000000000000000e+01 1.989808278595923866e+03 3.979329738409619344e-01 2.764026566695030468e-03 -8.077544672679978888e+00
7.600000000000000000e+01 2.015576143593646293e+03 4.121866839242464553e-01 2.835941794361320888e-03 -8.585435405841181478e+00
7.700000000000000000e+01 2.041444267416897446e+03 4.266106637976118110e-01 2.908729541467850680e-03 -9.102707636756328213e+00
7.800000000000000000e+01 2.067429784588072835e+03 4.411944842874415129e-01 2.982386143800249117e-03 -9.629336851382964468e+00
7.900000000000000000e+01 2.093609243995537781e+03 4.559286852381066457e-01 3.056913580676804028e-03 -1.016559532904360275e+01
8.000000000000000000e+01 2.120036852225751772e+03 4.708035839396036426e-01 3.132308451101892700e-03 -1.071190343784068588e+01
8.100000000000000000e+01 2.146762395699627632e+03 4.858090216229153935e-01 3.208573099944248778e-03 -1.126835863709781549e+01
8.200000000000000000e+01 2.173795368102839348e+03 5.009332986993156878e-01 3.285704275440824197e-03 -1.183450807127455739e+01
8.300000000000000000e+01 2.201103766562101100e+03 5.161627705856952630e-01 3.363704505325644089e-03 -1.240994697038605388e+01
8.400000000000000000e+01 2.228677764573000331e+03 5.314842947699901510e-01 3.442570904363217825e-03 -1.299397374139716810e+01
8.500000000000000000e+01 2.256500196500850507e+03 5.468842305839006768e-01 3.522306152412391523e-03 -1.358625781532467336e+01
8.600000000000000000e+01 2.284559917684101492e+03 5.623512416446168061e-01 3.602907672320142946e-03 -1.418609339130971314e+01
8.700000000000000000e+01 2.312825747184020202e+03 5.778725509182054410e-01 3.684378361677030644e-03 -1.479298029703000950e+01
8.800000000000000000e+01 2.341279941787621283e+03 5.934362011463925057e-01 3.766715940049921926e-03 -1.540641394217043114e+01
8.900000000000000000e+01 2.369934494446981262e+03 6.090304804945543271e-01 3.849923517938326663e-03 -1.602596407369944131e+01
9.000000000000000000e+01 2.398793905088851261e+03 6.246389849505328273e-01 3.933999090754678601e-03 -1.665134857170334115e+01
9.100000000000000000e+01 2.427869280367196097e+03 6.402492744431973470e-01 4.018945991822511603e-03 -1.728205978073459548e+01
9.200000000000000000e+01 2.457160711157990590e+03 6.558464730467684634e-01 4.104762498948930430e-03 -1.791787340562300557e+01
9.300000000000000000e+01 2.486682308391469178e+03 6.714159641668475675e-01 4.191452154726023685e-03 -1.855826548940083853e+01
9.400000000000000000e+01 2.516425865245407749e+03 6.869451073036960675e-01 4.279013513260661317e-03 -1.920300847113978548e+01
9.500000000000000000e+01 2.546405488513230011e+03 7.024185498168592501e-01 4.367450319246899901e-03 -1.985157842400338524e+01
9.600000000000000000e+01 2.576612969659182454e+03 7.178221715899677502e-01 4.456761398380039083e-03 -2.050352541371089643e+01
9.700000000000000000e+01 2.607047586430626779e+03 7.331413670461235377e-01 4.546950687312357325e-03 -2.115839969753902139e+01
9.800000000000000000e+01 2.637715954440349833e+03 7.483605372146963086e-01 4.638017274466792531e-03 -2.181575138554302029e+01
9.900000000000000000e+01 2.668595113334130474e+03 7.634658239459082285e-01 4.729965281327702491e-03 -2.247505666951375147e+01
1.000000000000000000e+02 2.699699089349837777e+03 7.784453370588635401e-01 4.822794047071550690e-03 -2.313579160966864023e+01
1.010000000000000000e+02 2.731019744406804875e+03 7.932844846408596551e-01 4.916507840051885340e-03 -2.379743247422647201e+01
1.020000000000000000e+02 2.762556279340069068e+03 8.079610034099758975e-01 5.011106292073434429e-03 -2.445967772429068532e+01
1.030000000000000000e+02 2.794293145469568572e+03 8.224751220715167399e-01 5.106593557213004453e-03 -2.512170727775331258e+01
1.040000000000000000e+02 2.826229544467975302e+03 8.367972029546681956e-01 5.202969712429583206e-03 -2.578314558421957514e+01
1.050000000000000000e+02 2.858357337585976438e+03 8.509200444645127481e-01 5.300239598228588186e-03 -2.644339499079738687e+01
